comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,meta,is_avoided,attribute,vt_display,is_charging_arc,vt,enable_vt
511,201,76870,http://i0.hdslb.com/bfs/archive/7c8907a3439af5bb41740efb658ea1079e954a73.jpg,,,1,这年头，怎么还有人在当妇科男医生啊？！【访谈王大包（上）】,0,nagi真的很文静,495792263,1682680017,06:42,226,783083631,BV1N14y1Z7iQ,False,0,0,0,0,"{'id': 1328116, 'title': '医生生活大访谈', 'cover': '//i0.hdslb.com/bfs/archive/7c8907a3439af5bb41740efb658ea1079e954a73.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 1328116, 'view': 76870, 'danmaku': 226, 'reply': 511, 'favorite': 442, 'coin': 444, 'share': 277, 'like': 4378, 'mtime': 1696822773, 'vt': 0, 'vv': 0}, 'ep_count': 1, 'first_aid': 783083631, 'ptime': 1682680017, 'ep_num': 1}",0,0,,False,0,0
278,201,88570,http://i1.hdslb.com/bfs/archive/ab2e1439bda4678ea65e5e3303788ec78a2c3083.jpg,,吸烟有害健康❗请大家把这句话刻在骨子里❗,1,口味电子烟，针对年轻人的加料健康陷阱？！,0,nagi真的很文静,495792263,1682081229,05:02,379,740295452,BV1wk4y1J7CJ,False,0,0,0,0,,0,0,,False,0,0
166,201,67446,http://i0.hdslb.com/bfs/archive/485d73eb02def5c99a66ea650853ced35e9fed84.jpg,,家人们，听我一句劝！干细胞美容真的zzs,1,一夜回春！一针15万打干细胞，真的立马年轻30岁？！,0,nagi真的很文静,495792263,1681469100,08:01,241,612465505,BV13h4y1W7gE,False,0,0,0,0,"{'id': 227590, 'title': '奇葩医美大吐槽', 'cover': 'https://archive.biliimg.com/bfs/archive/1615fb8f17737467d8a287c87ea374040c4989ab.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 227590, 'view': 6732544, 'danmaku': 33189, 'reply': 20182, 'favorite': 41253, 'coin': 70326, 'share': 18386, 'like': 365462, 'mtime': 1696823329, 'vt': 0, 'vv': 0}, 'ep_count': 11, 'first_aid': 851053757, 'ptime': 1681469100, 'ep_num': 11}",0,0,,False,0,0
509,21,321996,http://i0.hdslb.com/bfs/archive/bc2ce566cb8b6cfc8fb9075a20a7f1c574b1f33e.jpg,,-,1,ok..我坦白..不更新的一个月我去动刀了,0,nagi真的很文静,495792263,1681012447,10:40,937,824676359,BV1ug4y137AQ,False,0,0,0,0,,0,0,,False,0,0
263,21,137013,http://i1.hdslb.com/bfs/archive/e358a7658461d4c57bfc7d4a9ea1f1aba2751176.jpg,,别管了，真碰到过,1,这年头当医生还要帮病人瞒女友？！？,0,nagi真的很文静,495792263,1678273200,05:47,327,268049226,BV18Y411675f,False,0,0,0,0,,0,0,,False,0,0
564,201,82656,http://i2.hdslb.com/bfs/archive/be13c6137e229c0efbdb2fece8429e47e43f5ae7.jpg,,体检2个肺结节？磨玻璃结节是不是肺癌早期？什么样的肺结节需要定期随访？一篇给你全部说清楚～！,1,27岁？已经得了两个磨玻璃肺结节？？？,0,nagi真的很文静,495792263,1677238500,07:31,288,482443859,BV1vT411i7vq,False,0,0,0,0,,0,0,,False,0,0
52,21,83492,http://i2.hdslb.com/bfs/archive/5ddb8148761f040220971e0195fd515ce0607e72.jpg,,,1,啊啊啊女医生上班2年后的第一次旅游谁懂啊！！【海南vlog】,0,nagi真的很文静,495792263,1676028836,05:34,137,651667806,BV1ve4y1P7Xa,False,0,0,0,0,"{'id': 227773, 'title': '机智的医生生活', 'cover': 'https://archive.biliimg.com/bfs/archive/b855f115bc4d6107a64d5ea7e6898cbd803544a6.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 227773, 'view': 3900238, 'danmaku': 18974, 'reply': 9516, 'favorite': 21758, 'coin': 22808, 'share': 7991, 'like': 145226, 'mtime': 1696823510, 'vt': 0, 'vv': 0}, 'ep_count': 11, 'first_aid': 850455929, 'ptime': 1676028836, 'ep_num': 11}",0,0,,False,0,0
704,157,203132,http://i0.hdslb.com/bfs/archive/83d34c955e59f559bf6f7f85e1c683d0e46219c6.jpg,,今天聊点私房话～别羞涩要健康！外在变美的同时也别忘了骨子里的健康 都拿出小本本记下,1,为了取悦他，用了私处香水。。请问这是新型裹脚布吗？,0,nagi真的很文静,495792263,1675854000,05:52,637,651530434,BV1Re4y1A7GN,False,0,0,0,0,"{'id': 227598, 'title': '硬核科普 涨知识', 'cover': 'https://archive.biliimg.com/bfs/archive/b855f115bc4d6107a64d5ea7e6898cbd803544a6.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 227598, 'view': 12027656, 'danmaku': 77132, 'reply': 43366, 'favorite': 329754, 'coin': 224903, 'share': 210171, 'like': 682986, 'mtime': 1696823262, 'vt': 0, 'vv': 0}, 'ep_count': 32, 'first_aid': 766756398, 'ptime': 1675854000, 'ep_num': 32}",0,0,,False,0,0
252,201,123692,http://i0.hdslb.com/bfs/archive/c3679235faf93a50aebfe628c234f17ec05dc14a.jpg,,-,1,烟花很美，但眼科医生流泪（45度仰头。。。,0,nagi真的很文静,495792263,1674448200,07:30,333,523157754,BV1YM411t77L,False,0,0,0,0,,0,0,,False,0,0
509,21,291173,http://i0.hdslb.com/bfs/archive/5bbaba3dcdd40b8b62256f031f784c9610cdf58c.jpg,,从来没有想过有一天日子回过成这样。。。,1,放开后，眼科医生也要崩溃了。。。,0,nagi真的很文静,495792263,1674124932,08:32,612,905594963,BV1KP4y1r7vb,False,0,0,0,0,,0,0,,False,0,0
